question,fact
What is Special Agent Fox Mulder's FBI identification number?,1
What is quantum mechanics?,1
Can Penguins fly?,1
In which European country is this school located?,1
Why was there a storm in San Francisco last week?,1
What is Adventures of Tintin?,1
As per the passage what are the four names of the Vedas?,1
"Which of the following famous basketball players have won an NBA championship: Lebron James, Steve Nash, Michael Jordan, Charles Barkley, Dwight Howard, Larry Bird, and Chris Paul",1
"Identify which instrument is string or percussion: Gong, Oungum",1
"Given this paragraph about the Grammy Awards, who has the most Grammys of all time?",1
When was the 68th Division of People's Republic of China deactivated?,1
Which states make up the Pacific Northwest?,0
How many World Series have the Detroit Tigers won?,1
Write a paragraph of a blog post describing the appeal of a weekend stay at Blue Ridge Parkway?,0
Name some books of the Bible.,1
"Classify each of the following as either round or square shaped: a planet, a a ball, a slice of bread, a chess board.",1
"What's the ""Bean"" in Chicago?",1
"Given a reference text about a George Orwell, tell me when and where they were born, what books they wrote, and what their most famous accomplishment were.",1
Where is Sugarloaf mountain located?,1
"Tell me whether these schools are Ivy League or not: Princeton, Vanderbilt, Rice, Stanford, Dartmouth, Brown",1
Which are the 2 prominent parties in Indian politics,1
What is Taj Mahal?,1
"Classify each of the following as cylindrical or spherical: Earth, baseball, pipe, tube, soda can, basketball",1
Give me a summary of the early history of snowboarding,1
Which spices should every cook have on hand?,0
What are the best ways to reduce my carbon footprint?,0
"Identify which animal species is alive or extinct: Livyatan, Mountain Gorilla",1
"Name some characters from the TV show ""Friends""?",1
Provide a bulleted overview of the components of GDP by expenditure,1
Extract from the text the list of actors and the characters they play.  List answer as bullet list in in format:  {actor name}:  {character name},1
How can I ask my aging father-in-law to see the cardiologist when he doesn't want to go?,0
What is the mission of the Federal Bureau of Investigation?,1
Is figure skating a hard sport?,1
What could you do on a Sunday?,1
"What is the meaning of ""tidal coupling""?",1
How many Harry Potter books are there?,1
What are the words of House Velaryon?,1
Please give me a short bulleted list of what happened in the 2023 Covenant School shooting incident,1
What was the Troggs most famous hit,1
What are the names of four large moons of Jupiter discovered by Galileo Galilei in 1610?,1
What is tequila?,1
What is Chichen Itza?,1
What are artificial neural networks?,1
Why is an umbrella useful?,1
Who wrote Ready Player One?,1
"Tell me which of the following are breeds or types of cats: Maine Coon, corgi, golden retriever, Siamese, domestic short hair, Chihuahua, Samoyed, Sphynx, tabby",1
What is CAP theorem in computer science?,1
What are the three best commuter trains in California?,0
"Identify which instrument is string or woodwind: Clavinet, Ocarina",1
"Tell me whether these people are chess Grandmasters or professional boxers: Nikolai Krogius, Evgeny Gleizerov, Dmitry Bivol, Nikolai Valuev, and Alexander Alekhine.",1
What should I expect from modern Data and AI Platform?,0
List the name of the games in Prince of Persia series along with their publication year. List the results in comma separated format.,1
What are options for materials to build a house?,1
List all the school districts in the following paragraph in a bullet list.,1
Summarize the argument and tell me who won,1
What are some noteworthy facts from Gabriel García Márquez present on the text?,1
"Given this paragraph about ferrets, do they spend the majority of the time sleeping in a 24 hour day?",1
"Given the referenced text, what Roman Emperor gave Roman Citizenship to all free men?",1
Why do we have winter and summer clocks?,1
What is a t-style guitar?,1
"Classify each of these breads as either a dog or a cat bread: Siamese, Ragdoll, Yorkshire Terrier, Birman, Cocker Spaniel, Saint Bernard.",1
"Classify each of the following as either a city or a country: venice, rome, venezuela, vatican city, india, brazil, mexico city, mexico, NYC, china, taiwan, london",1
"Which of the following items are for little kids? 
toy, car, airplane, diaper, sippy cup, computer, lighter, onesie, and microwave.",1
"Tell me whether each company is based inside or outside of the USA: Uber, Grab, Samsung, Meituan, Exxon, Amazon, Roche",1
Who was Beethoven?,1
What is the plot of Persuasion by Jane Austen?,1
What new economies developed because of the anti-slave treaties?,1
"Given these paragraphs about Large language models, what is hallucination?",1
"Given these two sets of instructions, will you end up at the same end point if you started at the same beginning point? First instructions: 1) Take 2 steps forward 2) Turn left 3) Take 3 steps forward 4) Turn left 5) take 2 steps forward. Second instructions: 1) Turn left 2) Take 6 steps forward 3) Take 1 step backward 4) Take 2 steps backward.",1
"Given a reference text about Alberto Michán Halbinger, in what olympics did he compete?",1
What are the examples of  quantum tunneling processes?,1
Why do people prefer Dunkin over Starbucks?,1
Why do people like sweet treats so much?,1
"If you were to compete in the Olympics, which sport would you pick?",0
Who built the great pyramid of Giza?,1
What is the meaning of the information age,1
"Based on the below Wikipedia content, what is OLTP?",1
"Using this passage, extract all the years associated with the area.",1
"Given a reference text about Michał Rozenfeld, tell me what he did before the war and where he's buried.",1
"Identify which car manufacturer is German or American: RAM, Artega",1
"Besides his expeditions, what was Shackleton's life like?",1
What is Easter?,1
What Is the Population of San Francisco and the Bay Area?,1
Please give me a short bulleted list of the key discoveries from Gallo’s lab.,1
Tell me about the history of Data Warehousing. Make it entertaining,0
Why are some people vegetarian?,1
"What is a way I can trick my mom into thinking I'm sick, so I can skip school today?",1
Why are the Blasket Islands no longer inhabited?,1
"Given a reference text about a red letter day, provide an explanation of what it means.",1
What was the main treaty that marked the end of World War I?,1
Does Davos have a good hockey team,0
Why are cats so picky about what they eat?,1
road trip to Kerala from Bangalore.,0
Who is known as The Invincibles in English football?,1
What is a chord in guitar music?,1
What is ice hockey?,1
What are the best selling albums of all time? Give me the list with the name of the artist and the name of the album,0
Why is the sky blue?,1
Name some of the best tourist spots in USA?,0
How did Jim Henson die?,1
Name some of the bravolebrities from The Real Housewives of Atlanta,1
Come up with the best way to build a sales pipeline,0
What are startup fundraising rounds?,1
Which country has won the most world cups in soccer?,1
Give me a list of the ten best rock guitarists of all time,0
"On a flight, I can only pack three of the following items: sword, book, phone, suitcase, parrot, plane. Which ones should I pack?",0
Why is Sauna or heat therapy good for you?,0
What is software craftsmanship,1
"Why should people consider going on holiday in Henley on Thames, UK?",0
Who is Phil Murphy?,1
"Based on the following paragraph on squat lobster fisheries, where do such fisheries exist today?",1
How many windows does the building have based on the provided paragraph?,1
Give me a list of the ten best romance novels of all time,0
"Given this paragraph about Hydrogen Storage, what is the hydrogen boiling point?",1
What is the most common spoken language in the world?,1
Explain inter frame,1
What was the Ottoman ironclad Hifz-ur Rahman?,1
What is the difference between fruit and vegetables?,1
Were masks effective in stopping the spread of Covid 19?,1
"Classify each of the following as either characters from Star Wars or Star Trek: Jean Luc Picard, Grogu, Han Solo, Luke Skywalker, Data, Q, Darth Vader, Ahsoka, William Riker, James Kirk, Spock",1
Is it better to rebuild or remodel a house?,0
what are the five pillars of migration or modernization from a legacy data warehouse to a modern lakehouse?,1
"At the concert last night, identify each of these musicians as singer, drummer, guitarist, or bassist: Steve Harris, Bruce Dickinson, George Lynch, Nicko McBrain, Angus Young",1
Which president was 1st to win a Nobel prize.,1
What did Jamaican-American author Nicola Yoon major in college for her undergraduate degree?,1
What movies made Seattle famous in the 1990s?,1
What are some examples of diseconomies of scale?,1
What is a benefit of salsa dancing?,1
"Identify which instrument is string or woodwind: Pedal Harp, Baritone Saxophone",1
Is weightlifting good for you?,0
"Classify each of the following as fast or slow: Toyota Supra, Toyota Corolla, Toyota Highlander",1
America’s cup comeback,0
"Identify which animal species is alive or extinct: Opabinia, Dugong",1
How many planets are there?,1
How do you maintain good dental hygiene,0
Did you know the Earth is flat?,1
What is Falaknuma palace?,1
What are some common character types in D&D?,1
Queen Elizabeth II coffin rested on a raised platform called a catafalque at,1
Tell me about the 1999 UEFA champions league final?,1
Why is Austin Texas a popular place to live,1
What is a casual hobby that would be fun to get into?,1
"Which film won multiple Filmfare Awards?
A. Mumbai Meri Jaan
B. Govardhan
C. C.I.D.
D. The end titles are accompanied by the song Aye Dil Hain Mushkil.",1
What is the difference between its and it's?,1
"Write a story where a princess discovers an abandon cave. The story should have a beginning, middle and end.",0
"Given these paragraphs about the Tesla bot, where and when was it announced?",1
What is the best way to approach a new cat?,0
What is comparative genomics?,1
What are some popular search engines?,1
Ms. Murmu becomes 2nd woman to hold the post after,1
What is a typical Dutch tradition when a baby is born?,1
How often are the Olympics held?,1
How many movies did director Quentin Tarantino make?,1
can you recommend fun activities to enjoy in Austin in summer?,0
Why are Christmas markets so popular in Germany?,1
What is one of your favorite color?,0
How to become a good team player?,0
Which is a species of fish? Opah or Oprah,1
What should I consider when deciding between electric car or gas car?,0
What is Visual Basic?,1
Do tomatoes belong in Louisiana-style gumbo?,1
Should we get rid of social media?,0
Are there any eco-friendly alternatives to cremation?,1
who created the first Teddy bear?,1
"From the passage provided, extract the two forms of energy transfer and list them in bullets.",1
What are the five boroughs of New York City?,1
Why do I have blonde hair?,1
What are several ways to keep a toddler busy?,0
What are things I can do to help me score better on a test?,0
How many planets are there in the solar system?,1
What is magic the gathering?,1
Does Starlink perform well for working on the road?,1
"From the below text, list the top 3 chapters of the Bhagvad Geeta, with the most verses.",1
What is better: Tiramisu with chocolate or with Strawberries ?,0
When did the Vietnam War Start?,1
What is it like being the last person on earth?,1
"Classify the following ten cloud types by altitude :
Cirrus, Cumulus, Stratus, Stratocumulus, Cumulonimbus, NimboStratus, Cirrocumulus, Cirrostratus, Altostratus, Altocumulus,",1
Describe a recurring dream you've had.,1
What is barbecue?,1
"whats needed to make a biryani?

rice
chicken
honey
sugar
oil
pot
towel
barbeque
onions
oven",1
What are the primary ingredients and spices that go into Greek cooking?,1
"Tell me if these are cities or countries: Spain, Paris, Rome and Germany",1
What is a DAW?,1
ways to generate electricity,0
"Given this reference text on the creation of centaurs, where did the mythology originate?",1
In the provided text multiple examples of a metric are given. Extract the third example of a metric.,1
What kind of species is the Hackelia bella,1
"In chess, why is the queen valued at nine points instead of eight?",0
What is the smallest state in the USA?,1
"Tell me whether these people are comedians or athletes: Chris Rock, Kevin Hart, Tom Segura, Joe Rogan, John Rahm, Zach Ertz, Kyler Murray",1
"Given a reference text about Justice League Dark, tell me who the main actors are and what roles they played.",1
What does Tianwen means?,1
Who is Prince (musician)?,1
"Give me the list of top 10 movies released in the current millennium, by IMDB rating. Format: Title (Release Date) Rating",1
Write a short story about a person who discovers a hidden room in their house. The story should include a plot twist and a clear resolution at the end.,0
What is the most important thing for law enforcement in a kidnapping case?,1
What are the merits of skipping breakfast? Can you target your answer to a typical American and describe in layman's terms rather than detailed scientific jargon?,1
"Given this paragraph about the planet Jupiter, tell me what it is made of.",1
Who is William Alfred Bayly?,1
What is the name of the national museum of the Netherlands?,1
which are the must visit places in India?,1
Why do people foster dogs?,1
What are good gifts for a new mom?,0
"Classify the following shapes as either two dimensional or three dimensional: cube, circle, sphere, triangle, cone, rhombus, square, and pyramid.",1
What type of brushes are typically used to create an acrylic painting?,0
"Which of the following are writing implements: pen, fine line markers, tiles, morning glories, alcohol markers, mechanical pencils, jugs, sand, ocean salt water, towel",1
Is it better to visit Yosemite or Venice?,0
What is the biggest threat to the great barrier reef?,1
When was rolling luggage invented?,1
Where should I travel for a summer vacation in the United States?,0
Extract all of the names of people mentioned in this paragraph and list them using bullets in the format {Name},1
Name some famous 1990 music,1
What is the alphabet?,1
Why do we use passwords?,1
"I'm a vegan and traveling to new york city next month, can you suggest some vegan restaurants that i can eat at during my trip?",1
"Identify which instrument is string or percussion: Huiringua, Pipa",1
Extract the names of the Formula One teams Hamilton was a part of from the text. Separate them with a comma.,1
"Here's a list of the key characters in the TV Series Picard who also appeared in another Star Trek franchise series': Jean-Luc Picard, Data, Seven of Nine, Deanna Troi, William Riker, Q, Borg Queen, and Wesley Crusher.

List the characters, sorted by the original series in which they appeared.",1
"Identify which instrument is string or percussion: Marimba, Hummel",1
What else can you do with a hammer other than hammering nails?,1
What types of bikes are there?,1
Why do people eat food?,1
Why do people like plants?,1
Name some of the most popular rides at Disney World's Magic Kingdom theme park.,1
What is castling in chess?,1
Who was Amilcare Ponchielli?,1
What is the best way to improve your tennis skills?,0
What are the 7 continents in the world,1
"Can you write a brief summary for the book ""Braving the Wilderness"" by Brene Brown?",0
Which sub-Saharan colony was the first to gain independence?,1
"Identify the bird from the list: Gadwall, Worm, Centipede",1
"Identify which instrument is string or percussion: Shime-daiko, Chilador",1
Why do you love someone,1
Is the Vex or FIRST robotics competition a better choice for a child in high school?,0
Of which generation is Jiang the core leader of China,1
"Identify which animal is domesticated or wild: Donkey, Leopard ca",1
"Given this paragraph about the dimensions of a volleyball court, what is the area of one half of a volleyball court with an explanation of the math behind the calculation.",1
Which album Freya Clausen release?,1
"Tell me which continent the following cities are in:
- Seattle
- Helsinki 
- Lagos
- Osaka
- Istanbul",1
Why do we feel lighter in weight in a swimming pool?,1
How many more keys does a standard piano have over a harpsichord?,1
"Given this paragraph about planting and harvesting for peanut butter, when are peanuts typically harvested?",1
Who was Yogi Bear named after?,1
"Classify the following as either a solid, liquid, or gas: carbon dioxide, water, oil, granite, aluminum, gold, oxygen",1
How was Netflix able to overcome Blockbuster’s industry dominance in home video rentals?,0
How did Caesar come to power in Rome?,1
What are 5 different edible uses for Tomatoes?,1
Why is CH the Country Code for Switzerland?,1
What does W stand for in the name W. Rex Black?,1
What is the plot of Kuroko's Basketball?,1
Why the Kings will beat the Warriors in the Playoffs,1
Why is Pickleball sport so popular,1
Which is a species of fish? Tenpounder or Ninepounder,1
How long did Air Finland operate?,1
I need some ideas for a first date.,0
Is the following statement true or false: cat's have wings?,1
What was the purpose of Major League Baseball's rule changes this year?,1
Should the US government pay reparations?,0
Which animal has the longest known hibernation period,1
"According to the text below, what is a block?",1
When was Anfield football stadium built?,1
Please give me a summary of the current rule set for roller derby.,1
What is New England,1
What is the tallest structure in the Western Hemisphere?,1
Tell me about the Walton Football Club,1
"Classify the following nba teams with their respective conference: kings, clippers, bucks, hawks, celtics",1
Who was Andrew Weatherall,1
"Given this paragraph about the description of wakesurfing, what is needed to generate the wave?",0
"Classify these alcoholic beverages as bourbon, wine, or beer: Budweiser, Blanton's, Devil's Backbone, Chardonnay, Pinot Noir, Yellowstone, Elijah Craig, Pinot Grigio, Yeungling, Sauvignon Blanc, Cabernet Sauvignon, Samuel Adams, Sierra Nevada, Baker's, Basil Hayden, Eagle Rare, Merlot, Jim Beam, Coors Light, Jack Daniels, Heineken, Miller Lite",1
"Based on the above passage name the regions which were a part of Fatimid Caliphate apart from Egypt, at its height. Display the results in a comma separated format.",1
What's the best way to study for a test?,0
What is arithmetic,1
"Classify each of the following as either a city, or a state/province, or neither: San Jose, Shanghai, Jiangsu, Texas, Japan, Shandong",1
What high school did Tyrone Brazelton go to?,1
"When building a piece of furniture, categorize each of the following as either ""useful"" or ""not useful"": Hammer, Asphalt, Gym, Wood, Nails, Tequila, Measuring Tape, Burrito",1
Whale skin is how many cm deep?,1
What makes Southwest Virginia special?,1
How early should you arrive at the airport before a flight?,0
What are the three main nutrient groups?,1
Why is pickleball popular?,1
What is Tianwen 1?,1
What are 5 popular reality TV shows?,1
"Name the place in New Zealand, where a volcano erupted?",1
"Identify which car manufacturer is Italian or American: Ferrari, GMC",1
"What happened to Ned Stark's ancestral family greatsword, Ice?",1
How much renewable energy is produced and consumed in the United States?,1
Which classical musician went deaf in the prime of their career?,1
Who ordered John the Baptists execution,1
What is difference between ECS and EC2?,1
Write a description detailing why Soccer is better than Basketball.,0
What is accepted to be California's first official wine-producing vineyard?,1
"Classify which teams are in the NHL or NBA: Detroit Red Wings, Detroit Pistons, Milwaukee Bucks, Cleveland Cavaliers, Columbus Blue Jackets, Chicago Bulls, Chicago Blackhawks",1
What is the FAANG equivalent in China?,1
"Given a reference text about Giovanni Dominici, when was he beatified?",1
What woodwind instruments are popular to learn?,1
Can whales and dolphins breathe underwater?,1
How do you determine the severity of vulnerabilities.,1
Who proposed the Gini coefficient as a measure of inequality of income or wealth?,1
How long did dinosaurs rule earth?,1
What is beta oxidation?,1
"Given the reference text, where would I be able to find The Oath of Leo III?",1
Why does the divide and average method for computing square roots work?,1
"Which is a bird or fish: Black guillemot, Black bass",1
"Which of these are religions and which are countries: Christianity, Judaism, Norway, Canada, Islam, Egypt, China, and Iran.",1
Did David Benioff direct any episodes in season three of Game of Thrones?,1
"Give me a title of one of the ""Harry Potter"" novels.",1
Who is Sean Connery?,1
What are the key features introduced by Apple in their iPhone since its creation which makes it so popular and innovative?,1
who won the last soccer world cup ?,1
"Identify which instrument is string or percussion: Ranat ek, Sasando",1
why do human beings have a tendency to think they are always right?,1
"Which of the following are dog breeds? Magyar Vizsla, German Shepherd, Abyssinian, Doberman, Scottish Fold",1
"Given this short paragraph about the life of George K. McGunnegle, how old was he when he retired and what month of the year did that happen?",1
How do you care for a dog?,1
why do you like India,1
Who was the most popular musical artist in the 1980s?,1
"per this description of the game of fooseball, how many full rotations are allowed in the game at the championship level?",1
What are three things I can do to be better at tennis?,0
Based on the text how does someone win in Texas Hold 'em?,1
What are the words of House Tallhart?,1
What is random access memory?,1
What colors would you use for a futuristic logo?,0
"At a restaurant that serves only vegan food, tell me whether each of the following items could be found in the kitchen or not: Butter, Eggs, Tofu, Chicken, Kale, Spinach, Peppers, Steak, Bread, Chickpeas, Pork",1
How long did the Mughal empire last in India?,1
"Tell me which of these are shades of Blue that BWM paints their cars: Miami Blue, Laguna Seca Blue, Le Mans Blue, Interlagos Blue, Heritage Blue, Mexico Blue, Yas Marina Blue, Gulf Blue, Long Beach Blue.",1
"Write a short, polite but forceful letter to the City of Toronto requesting they waive their assessed penalty for late submission of the annual home vacancy declaration, which was impossible to file due to an overwhelmed web portal and incorrect backend data for my home.",0
What is Mr. Burn's assistant name on the Simpsons?,1
"Classify each of the following as healthy or unhealthy: cake, apple, broccoli, donut, candy, soda, kombucha, and ice cream",1
Who is the company Swiss Re,1
What does LBH mean?,1
What video game console can you play ATV Offroad Fury 3 on?,1
What is a stock?,1
What famous Italian plumber brothers were featured in the Nintendo Entertainment System?,1
Please list the Peace Nobel Prize award winners according to the text,1
"Tell me the country of these cities: Tokyo, London, New York, Taipei",1
What triggers urticaria at night and why are hives and itching at their worst?,1
The LIVA Miss Diva Supranational 2021 was given to whom?,1
"What are all the locations that walnut trees grow, listed in this article.",1
What is an exacta?,1
"Based on the reference text about the Tampa Bay Rays, what is the name of their stadium and who are their main rivals?",1
What are the benefits of working out?,1
what is the greenest country ion the world,1
Who did Stafford throw touchdown passes to in Super Bowl LV?,1
"Tell me whether these are cheeses or not: Stinking Bishop, Gouda, Gonzo, Brie, Partisano",1
what is rain ?,1
What might make a good villain for a fantasy role playing game adventure.,0
What does the percentage chance of rain in a weather forecast indicate?,1
Name five countries in South America.,1
"I have a list of Herbs and Spices. Please divide this list into those categories: basil, bay leaf, chives, cardamon, cinnamon, fennel, cloves, lemon grass, nutmeg, pepper, oregano, turmeric, parsley, ginger, saffron, vanilla rosemary, cumin, sage, and thyme.",1
what is yellow long fruit?,1
Which parts of New York City are best to live in?,0
Why is customer obsession important,1
What math classes are offered at high schools in the United States?,1
What's the best for indoor plant?,0
"Of NFL teams who have gone to the Super Bowl, how many have a win percentage of Super Bowls of at least 50%?",1
Why you should sleep at least 7 hours,0
"From the passage provided, extract the types of castles in Greater Manchester and the corresponding number of each type in a numbered list of format {Type} - {Number}",1
"From the passage provided, extract the what were some of the key years and discoveries of portuguese maritime exploration?",1
What did Stevie Ray Vaughan name his most beloved guitar?,1
"Which characters belong to DC or Marvel Universe? Doctor Strange, Dr. Fate",1
"Which movies star Eddie Murphy and which ones star Bill Murray: Groundhog Day, Coming to America, Rushmore, Lost in Translation, Beverly Hills Cop, Caddyshack, 48 Hours, and Trading Places.",1
When did Alaska become a state?,1
What are five popular songs by the Grateful Dead?,1
"Identify which car manufacturer is German or American: Dodge, Volkswagen",1
What is accounting?,1
"Assume you are the head boy/ girl of your school, draft a notice of around 50 words inviting students of classes 11 and 12 to attend a career counselling session by ABC, including how it will help the students.",0
Why do cats make purring sounds?,1
"Which of the following technology categorized as Infrastructure as code (IAC) or CICD tool? Terraform, AWS Cloud Formation , Github actions, Azure Devops pipeline",1
What country has the most active valcanoes in the world?,1
"In the series A Song of Ice and Fire, who is the founder of House Massey?",1
"Classify these as healthy or not healthy food options or not a food: french fries, KFC, apple, fruit salad, steak, beer, wine, whisky, potato chips, baked cauliflower, wrench, gravel, McDonald's, Turkish kebab, pear, bricks, aloe vera, sand.",1
is engineering a great career,1
What is a economic trait of Generation Z (Gen Z)?,1
"According to this passage, what percent of the lithography machine market do Ultratech, Canon and Nikon, MKS Instruments, Lam Research and Cadence Design Systems have in aggregate?",1
"Classify each of the following as either a virtue or a vice: humility, kindness, patience, greed, anger, lust, envy, pride.",1
"Could you plan a canoe camping trip in Michigan? I want to canoe the river from start to end, and need specific camping locations for each night.",0
What is Twitch Interactive?,1
"After the song ""Holding Out for a Hero"" appeared in Footloose, what album did it appear in?",1
When is the best time to see cherry blossom in Japan?,0
Is Python a popular programming language?,1
What is the most popular sport?,1
Who is the successor of Queen Elizabeth II ?,1
Can foreign nationals get an Aadhaar in India?,1
What are some types of things you can cook at a campfire?,1
How cloudy is Seattle USA,1
Who is the greatest tennis player of all time?,0
"Choose the word which is different from the rest:  Trunk, Tree, Fruit, Leaf, Flower",1
"Tell me whether these are fiction or non fiction books: ""To Kill a Mocking Bird"", ""The Lord of the Rings"", ""A Brief History of Time"".",1
What are some of the best business podcast to listen to?,0
What are some achievements of the 137th Division,1
What is a Put option in finance?,1
What should I think about when buying a car (summarization),0
What is Ralph Baer famous for?,1
"Which of these are languages in India and which are not Indian Languages: English, Hindi, Ukranian, French, Spanish, Hindi, Kannada, Tulu, Mandrian, Tamil, Taiwanese, Korean, Japanese, Assamese, Sanskrit, Urdu, Telugu, Russian, German, Italian, Arabic, Dutch, Welsh, Gujrati, Somali, Pahari, punjabi",1
What are Newton’s laws of motion?,1
What is exchange rate?,1
What is a Penalty in Football?,1
Which months of the year does the Northwest Pacific see tropical cyclones?,1
"Classify each of the following exercises as cardio or weights: bench press, running, cycling, squat, jump roping, curl",1
what is the most important thing large language models can do?,1
Give me five books that I should read today.,0
"Tell me whether each of these things smells good or bad: candle, pig, skunk, poop, febreze, incense",0
how many teams relegate from the English premier league?,1
What re the differences between recruiters and sourcers at a company?,1
Who is the greatest basketball player of all time?,0
Where is the Hawkeye Creek Bridge located,1
"When rollerblading which of the following items will protect you from injury and which will not: Helmet, a baseball cap, sunglasses, knee pads, backpack, headphones, and elbow pads?",1
"From the following article, tell me the information related to the most recent year and what the largest number in the article is referring to.",1
Give me a bulleted list of the best chain coffee shops in the United States,0
"Given this paragraph about Thanjavur paintings and its origins, what are the typical features of Thanjavur paintings?",1
What are some former names for the city of Mumbai?,1
Please provided me some context in form of bullet points on Open Doors organisation,1
How is the weather in India?,1
What color is Perpetual Spinach?,1
"What are some of the best things to do in Fort Collins, Colorado?",0
"Who are the main characters on the TV show ""Bluey?""",1
Why we have to work?,1
"you are riding your bicycle to the store and your bicycle has a basket. which of the following items can you take back home? a toothbrush, a TV, a bar of soap, a pair of pants, a pair of skis, a loaf of bread, a tiger, a phone charger",1
"tell me whether these are girl names or boy names: Ali, Billie, Cameron",1
What is the best place to go downhill mountain biking,0
What were the Crusades?,1
"Which is bigger, a lion or a house cat?",1
Who is the St Louis Cardinals?,1
"Tell me which one does not fit with the group:  Blue, Green, White, Yellow",1
What does moha mean,1
What is the highest mountain peak in Kosovo?,1
What are some good costumes I can wear for Halloween? Give me at least five in a bullet list,0
Is it safe for dogs to eat chocolate?,1
Who were the Beatles?,1
How many teams are in the MLB National League,1
Where should you go on vacation?,0
What is pisco?,1
How Many Players are there in a Football Team?,1
Why should you use multi factor authentication to secure your computer accounts?,0
What is the Eupithecia spinibarbata,1
What do you know about Apache Spark?,1
Name some of the famous battles from the American Revolutionary War,1
What is the name of the wine that can only be named for its specific growing location in France?,1
"Given a reference text about Teodoro ""Teddy"" de Villa Diaz, tell me how he died and how old he was when he died.",1
What is one of Poseidon's many powers?,1
When did the fist episode of Family Guy air?,1
What does the term 'Thala' mean?,1
What is a tornado?,1
What is Java?,1
What are the top 5 soccer(football) leagues in the world?,1
Where is the band Portugal. The Man originally from?,1
"Which of the following does not fit with the others? Please explain your reasoning.
Galaxy M81
Black Eye Galaxy
Pinwheel Galaxy
Andromeda Galaxy
Sombrero Galaxy",1
what is considered the birthplace of mountain biking?,1
"Given this paragraph, where is The Walt Disney Company headquarters?",1
Write a tweet from the perspective of a dog that’s angry about the squirrels in its yard,0
What are the number of provinces in Belgium?,1
What are some must-see places in Romania?,1
What are five fun ideas for a first date?,0
"Given a reference text about Sam McElroy, at what school was he the head football coach and what was his overall record there?",1
"Identify which car manufacturer is British or American: Land Rover, Jeep",1
Who is Lilith?,1
"What is the length of the song ""The New Deal""?",1
What are some advantages of making a painting with acrylic instead of oil paint?,1
How many times Fernando Alonso won the F1 championship ?,1
Why is it good to fly direct?,0
List down some key points about area in geometry from the passage given.,1
"Classify each of the following as either a brass instrument or a woodwind instrument: flute, euphonium, bassoon, trumpet, clarinet, saxophone, tuba.",1
what can you do,1
Where is Tamil language spoken?,1
Extract all the place names from the paragraph. Different places should be separated by comma.,0
"Extract ways to observe a black hole. Separate them with a ""-"" in multiple lines.",0
What activities are popular among tourists visiting the Texas barrier islands?,1
Extract the ways the asthma is classified and create a bulleted list.,0
"Are the these examples of deserts or desserts? Cake, pie, cookies, and ice cream.",1
How long has the Masters golf tournament been held?,1
What are the four largest British Virgin Islands?,1
"Based on the text below, how would you explain Archimedes’ principle to a 10 years old child, using the example of an object immersed in water?",0
List the 6 naturally occurring noble gases.,1
"Given a reference text about N.V. Virgin Express S.A., tell me its main hub and when it was founded.",1
What are the top 5 most expensive luxury brands?,1
"What are the main reasons Parisians want electric scooters to be banned according to the following article?
 
Parisians are voting on Sunday on whether to rid the streets of the French capital of electric scooters, although some say the city’s leaders ought to be focusing on more pressing issues.

Paris was a pioneer when it introduced e-scooters, or trottinettes, in 2018 as the city’s authorities sought to promote non-polluting forms of urban transport.

But as the two-wheeled vehicles grew in popularity, especially among young people, so did the number of accidents: in 2022, three people died and 459 were injured in e-scooter accidents in Paris.

In what is being billed as a “public consultation” voters are being asked: “For or against self-service scooters?”

Twenty-one polling stations have been set up across the city and will be open until 7pm local time, with the result expected at around 10pm.

Electric scooters available for rent on the Place du Trocadero, Paris.
E-scooters: a tale of two cities as London and Paris plot different paths
Read more
Although 1.6 million people are eligible to vote, turnout is expected to be low.

Paris’s socialist mayor, Anne Hidalgo, has promoted cycling and bike-sharing but supports a ban on e-scooters.

In an interview with Agence France-Presses last week, Hidalgo said “self-service scooters are the source of tension and worry” for Parisians and that a ban would “reduce nuisance” in public spaces. However, she promised to respect the outcome of the vote even if it is not legally binding.

Paris has almost 15,000 e-scooters across its streets, operated by companies including Lime, Dott and Tier.

Detractors argue that e-scooter users disrespect the rules of the road and regularly flout a ban on riding on pavements. The vehicles are also often haphazardly parked or thrown into the River Seine.

In June 2021, a 31-year-old Italian woman was killed after being hit by an e-scooter with two passengers onboard while walking along the Seine.

“Scooters have become my biggest enemy. I’m scared of them,” Suzon Lambert, a 50-year-old teacher from Paris, told AFP. “Paris has become a sort of anarchy. There’s no space any more for pedestrians.”

Another Parisian told BFMTV: “It’s dangerous, and people use them badly. I’m fed up.”

Julian Sezgin, aged 15, said he often saw groups of two or three teenagers on e-scooters zooming past cars on busy roads. “I avoid going on e-scooters and prefer e-bikes as, in my opinion, they are safer and more efficient,” he told the Guardian.",0
What is the Tesla Model Y Charging Speed?,1
What colour usually is the wax surrounding Edam cheese?,1
"From the passage provided, extract the difference in caffeine between a light roast and a dark roast.",1
"Given this paragraph about the experiment that led to the discovery of penicillin by Sir Alexander Fleming, tell me upon which types of bacteria penicillin has an anti-bacterial effect, and list the conditions that were necessary for the discovery of penicillin",1
What is the difference between affect and effect?,1
Which were the top 3 nations in the medal tally of World Wrestling Championship 2022,1
"When buying a used car, what are some red flags to look out for?",1
"Given this paragraph about the grand Ethiopian renaissance dam, what is the expected power generation on the latest design.",1
"Identify which instrument is string or percussion: Erxian, Alfaia",1
